"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",0,1.9882812,1.984375,2.0195312,4.0117188,3.984375,1.9804688,1.984375,3.9765625,3.9765625,3.9765625,3.9804688,3.984375,6.2695312,6.2539062,6.265625,6.375,6.3710938
"2",1.9882812,0,1.9960938,2.0078125,4,3.9960938,1.9921875,1.9960938,3.9882812,3.9882812,3.9882812,3.9921875,3.9960938,6.28125,6.265625,6.2773438,6.3867188,6.3828125
"3",1.984375,1.9960938,0,2.0039062,3.9960938,4,1.9960938,2,3.9921875,3.9921875,3.9921875,3.9960938,4,6.2851562,6.2695312,6.28125,6.390625,6.3867188
"4",2.0195312,2.0078125,2.0039062,0,2,2.0039062,2,2.0039062,2.0039062,2.0039062,2.0039062,2.0078125,2.0117188,4.296875,4.28125,4.2929688,4.4023438,4.3984375
"5",4.0117188,4,3.9960938,2,0,2.0039062,2,2.0039062,2.0039062,2.0039062,2.0039062,2.0078125,2.0117188,4.296875,4.28125,4.2929688,4.4023438,4.3984375
"6",3.984375,3.9960938,4,2.0039062,2.0039062,0,1.9960938,2,2,2,2,2.0039062,2.0078125,4.2929688,4.2773438,4.2890625,4.3984375,4.3945312
"7",1.9804688,1.9921875,1.9960938,2,2,1.9960938,0,2.0039062,2.0039062,2.0039062,2.0039062,2.0078125,2.0117188,4.296875,4.28125,4.2929688,4.4023438,4.3984375
"8",1.984375,1.9960938,2,2.0039062,2.0039062,2,2.0039062,0,2,2,2,2.0039062,2.0078125,4.2929688,4.2773438,4.2890625,4.3984375,4.3945312
"9",3.9765625,3.9882812,3.9921875,2.0039062,2.0039062,2,2.0039062,2,0,2,2,2.0039062,2.0078125,4.2929688,4.2773438,4.2890625,4.3984375,4.3945312
"10",3.9765625,3.9882812,3.9921875,2.0039062,2.0039062,2,2.0039062,2,2,0,2,2.0039062,2.0078125,3.8867188,3.8710938,3.8828125,3.9921875,3.9882812
"11",3.9765625,3.9882812,3.9921875,2.0039062,2.0039062,2,2.0039062,2,2,2,0,2.0039062,2.0078125,3.8867188,3.8710938,3.8828125,3.9921875,3.9882812
"12",3.9804688,3.9921875,3.9960938,2.0078125,2.0078125,2.0039062,2.0078125,2.0039062,2.0039062,2.0039062,2.0039062,0,2.0039062,3.890625,3.875,3.8867188,3.9960938,3.9921875
"13",3.984375,3.9960938,4,2.0117188,2.0117188,2.0078125,2.0117188,2.0078125,2.0078125,2.0078125,2.0078125,2.0039062,0,3.8945312,3.8789062,3.890625,4,3.9960938
"14",6.2695312,6.28125,6.2851562,4.296875,4.296875,4.2929688,4.296875,4.2929688,4.2929688,3.8867188,3.8867188,3.890625,3.8945312,0,1.984375,1.9960938,3.875,3.8710938
"15",6.2539062,6.265625,6.2695312,4.28125,4.28125,4.2773438,4.28125,4.2773438,4.2773438,3.8710938,3.8710938,3.875,3.8789062,1.984375,0,2.0117188,3.859375,3.8554688
"16",6.265625,6.2773438,6.28125,4.2929688,4.2929688,4.2890625,4.2929688,4.2890625,4.2890625,3.8828125,3.8828125,3.8867188,3.890625,1.9960938,2.0117188,0,2.0078125,2.0117188
"17",6.375,6.3867188,6.390625,4.4023438,4.4023438,4.3984375,4.4023438,4.3984375,4.3984375,3.9921875,3.9921875,3.9960938,4,3.875,3.859375,2.0078125,0,2.0039062
"18",6.3710938,6.3828125,6.3867188,4.3984375,4.3984375,4.3945312,4.3984375,4.3945312,4.3945312,3.9882812,3.9882812,3.9921875,3.9960938,3.8710938,3.8554688,2.0117188,2.0039062,0
