"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",0,2,2,2,4,4,2,2,4,4,4,4,4,7,7,7,7,7
"2",2,0,2,2,4,4,2,2,4,4,4,4,4,7,7,7,7,7
"3",2,2,0,2,4,4,2,2,4,4,4,4,4,7,7,7,7,7
"4",2,2,2,0,2,2,2,2,2,2,2,2,2,5,5,5,5,5
"5",4,4,4,2,0,2,2,2,2,2,2,2,2,5,5,5,5,5
"6",4,4,4,2,2,0,2,2,2,2,2,2,2,5,5,5,5,5
"7",2,2,2,2,2,2,0,2,2,2,2,2,2,5,5,5,5,5
"8",2,2,2,2,2,2,2,0,2,2,2,2,2,5,5,5,5,5
"9",4,4,4,2,2,2,2,2,0,2,2,2,2,5,5,5,5,5
"10",4,4,4,2,2,2,2,2,2,0,2,2,2,5,5,5,5,5
"11",4,4,4,2,2,2,2,2,2,2,0,2,2,5,5,5,5,5
"12",4,4,4,2,2,2,2,2,2,2,2,0,2,5,5,5,5,5
"13",4,4,4,2,2,2,2,2,2,2,2,2,0,5,5,5,5,5
"14",7,7,7,5,5,5,5,5,5,5,5,5,5,0,2,2,4,4
"15",7,7,7,5,5,5,5,5,5,5,5,5,5,2,0,2,4,4
"16",7,7,7,5,5,5,5,5,5,5,5,5,5,2,2,0,2,2
"17",7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,2,0,2
"18",7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,2,2,0
