,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,,,5,3,,,4,3,3,2,5,,,,,,3,
2,4,,4,5,3,4,5,3,3,,5,5,5,3,4,5,5,3
3,3,3,,5,3,4,3,,4,,3,3,4,3,3,3,7,3
4,,4,7,,,2,2,4,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,2,2,,,,,,,,,3,5,7,,,,,
8,,,,,,2,,,,,,,,,,,,
9,2,2,2,2,6,3,2,4,,2,2,2,2,2,4,3,4,4
10,3,,,,,,3,,2,,1,3,2,,,,,
11,4,2,2,2,,4,,2,2,,,2,3,2,3,3,3,
12,,,,2,,,5,,2,,,,5,,,2,3,
13,,,2,,,2,5,2,2,,2,4,,,2,2,2,
14,,,,,,,,,,,,,,,3,,,
15,3,4,3,,3,3,4,3,,2,4,3,5,5,,5,4,3
16,3,2,2,2,,3,2,2,3,2,4,2,4,2,3,,4,3
17,5,6,6,1,6,6,7,6,7,4,6,7,7,2,,7,,4
18,0,,,,,,,,,,,,,,,,,
